--- Driving Event Log Started ---
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.0s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.1s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.2s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.3s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.4s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
[0.500s] DEBUG Steering: Total changes=0, Significant=0, Freq=0.00/s, Sig_freq=0.00/s, Avg_magnitude=0.0°, Window=0.5s
[0.500s] Safety Sub-Scores: Hard Long G=0.00, Aggressive Cornering=0.00, Jerky Steering=0.00, System Intervention=0.00, penalty=0.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
Time: 0.5s | Eco Score: 100.00 | Safety Score: 100.00
